Area,Piste,Ref,Difficulty,Routes,Length,Avg Angle,Max Angle
,"Lona inférieure",,advanced,1,3058.7487330472654,15.224326463765983,28.89812171990681
Savognin,"18 Cartas",,intermediate,1,722.5580751024161,16.62210401504378,22.200358212615708
,"Trift",,intermediate,5,1470.9894472571466,13.502677946863097,24.217864143943522
St Johann in Tirol,"3a",,intermediate,1,2420.874269927477,11.67947671227076,23.796590022247337
Courmayeur,"Stadio Slalom",16,intermediate,1,940.593733890834,14.53409661713062,23.6050661771042
Vars,"Zakopane",,intermediate,1,1329.6164063213025,10.391842962497703,23.509245461749657
St. Anton am Arlberg,"Plattiwald",,easy,2,1249.763438361006,11.229762871491584,21.24394802771153
Espace Killy,"Cugnaï",,intermediate,2,981.7510931377197,12.574689022877092,31.01700830734176
,"Waldabfahrt",,freeride,1,2170.237285080946,13.981665777772589,27.7032189072458
,"Manheimer",,intermediate,1,257.75572851566415,9.839269979927774,16.142460063634058
,"Lac du Lec",,easy,1,1221.235884787181,4.903639212194198,12.707944717861732
Espace Killy,"Crocus",,intermediate,1,488.5840315838834,13.599955899727895,20.301868496484207
Savognin,"21 Heidipiste",,easy,1,2166.03307751459,9.486126642322475,20.342305223575583
SkiWelt,"Kummereralm - Abfahrt",,intermediate,2,1144.2663674630448,14.393847331115255,23.688650825545793
,"Stade de slalom",,advanced,1,611.0544377317692,15.824116151120979,27.659436524981075
Les Trois Vallées,"Portette",,intermediate,1,1578.1322187288886,13.867186713341333,28.850944763727455
Skigebiet Gastein,"Sender",,intermediate,2,911.6191310023721,20.47290764227578,29.60327549612411
Espace Diamant (Les Saisies),"Ruan",,intermediate,1,1815.278433723676,13.597471287826599,28.57809230166865
,"Soudane",,easy,1,2143.781871442139,11.447140133505977,24.761956533831416
Schlick2000,"1 Kreuzjoch-Schlick",,easy,1,1459.7560024285565,9.16718660347854,16.994917038522647
Frabosa Soprana,"Ciandre' - Frabosa",,easy,1,558.2738481389631,9.968286517651753,18.93507923474843
,"Petits Loups",,novice,1,1682.195371552512,7.105533199157235,17.8129081796332
,"Panciana",,intermediate,2,2106.504153843219,11.65832666102027,22.92378886885248
Skigebiet Söllereck,"Höllwies 5",,intermediate,1,2046.9942750143402,11.956492096701458,24.770592778719507
,"1 Armentarola",,intermediate,1,5870.934688441105,9.683586766039893,25.522206705542775
Alpe d'Huez Grand Domaine,"Myrtilles",,easy,1,619.9402974646069,16.332865686974234,25.31118331270944
Le Grand Massif,"Plateau",,intermediate,1,381.9683704512105,13.698927269993765,20.44493771353612
,"Jochliftabfahrt",,easy,2,1035.3937029776876,12.120499933931523,19.524399615315954
,"Tufs",,intermediate,1,909.2961816775601,19.527701872908573,25.121428085852312
,"Souches",,intermediate,1,591.921318331578,13.681821591522855,23.23674645551357
Saas Fee,"11b Oberer Spielboden",,advanced,1,542.3571298403501,17.398352913644224,34.73269378638575
,"Plateau Rosa - Bontadini",,intermediate,2,1021.7531589776464,9.053971588000174,17.731367759956967
,"Salizzona",,intermediate,1,983.8922166615625,16.664373070458012,29.482064183105127
Nassfeld,"Strohsack-Abfahrt",,intermediate,1,719.9126994353915,11.323742273735427,20.217904037664677
Serre-Chevalier,"Barres",,novice,1,1183.1243865264573,10.068008128316146,14.703554877797405
,"Plateau de l'Aup",,intermediate,1,494.544668593938,15.16195299644068,21.1651891412795
,"Neuvache",,easy,1,22.92017342578139,20.46232069107271,0.0
Axalp,"Hüttboden",,easy,1,890.6406316621913,9.089885943247651,16.449147570493857
,"FIS Weltcup Strecke",,advanced,1,1554.5469314219195,15.690765753940648,34.02563550227344
,"Creblet",,advanced,1,1789.125658227651,21.832857429236203,35.61967848995079
Espace Diamant (Les Saisies),"Le Planay",,easy,1,3656.641205641476,6.737075393149551,16.839980696264178
Scuol Motta Naluns,"Prui",,intermediate,1,429.6983203267705,16.448042601158704,21.736700138788517
,"Rennstrecke",,intermediate,1,449.6497202886485,10.317725412936557,15.33252636866451
Espace Diamant (Les Saisies),"Les Chars",,intermediate,1,1335.610291643615,14.177281640847454,26.256204791021545
,"Dosso Passo - Valetta",,intermediate,1,772.1862942821541,9.264658844209176,19.020538551613036
Frabosa Soprana,"Monte Malanotte",,intermediate,1,787.3523417106085,14.630508427049287,26.281767481903305
,"Fontaney",,advanced,1,598.2387518713313,20.78131556363791,39.596769257927214
,"Les Vallons Jartoux",,intermediate,1,1124.555338147718,15.729005817755517,28.02318519771662
Turracher Höhe,"Verbindung zur Übungswiesenabfahrt rechts",,intermediate,1,252.3863180385166,9.4485175873314,13.33565319661517
Les Portes du Mont-Blanc,"Roitelets",,novice,2,968.2055727817893,4.177622774732054,9.494287435291003
,"6a",,easy,2,1291.2494576383222,11.582759558593875,26.78555593240563
Les Trois Vallées,"Biche",S 02,easy,1,1546.342201558411,13.725410829406092,23.13538723781734
Saalbach - Hinterglemm,"Muldenabfahrt",,easy,1,1352.4067393701175,10.632877201844318,23.77617782533682
,"Myrtilles",,advanced,1,797.5910665860025,17.18254676040756,26.896275345478024
Chamonix Mont-Blanc,"Arve",,easy,3,1456.9889883412088,12.751959767309911,22.42134164840554
Skigebiet Lachtal,"Lärchenschuss",,advanced,1,579.1526871603695,15.639320210509169,23.032717997693698
Les Arcs / Peisey-Vallandry,"Plan des Eaux",,easy,1,2352.3910967683782,6.875466609830972,16.714757724644546
